course,utme_subjects,schools_offering
Creative Arts,"Literature in English and two (2) other relevant subjects","UNILAG"
Music,"Music, one (1) other Arts subject plus any other subject","ABU; DELSU; EKSU; FULAFIA; IBADAN; LASU; NDU; OAU; OOU; PHC; UNILAG; UNN"
Linguistics,"Any Language and two (2) other subjects","AAUA; ABSU; ABU; ABUJA; BAYERO; BENIN; DELSU; EBONYI; EKSU; ILORIN; JOS; KASU; KWASU; LAGOS; LASU; NASARAWA; NDU; OAU; OOU; PHC; UNILORIN; UNILAG; UNN"
English Language,"Literature in English, one (1) other Arts subject plus another Arts or Social Science subject","AAUA; ABSU; ABU; ABUJA; BAYERO; BENIN; DELSU; EBONYI; EKSU; IBADAN; ILORIN; JOS; KASU; KWASU; LAGOS; LASU; NASARAWA; NDU; OAU; OOU; PHC; UNILAG; UNIZIK; UNN; UNIOSUN; UNIUYO"
French,"French and any other two (2) Arts subjects","ABU; ABUJA; BENIN; IBADAN; ILORIN; JOS; LAGOS; OAU; UNIZIK; UNILAG; UNN"
German,"German and any other two (2) Arts subjects","UNILAG"
Russian,"Russian and any other two (2) Arts subjects","UNILAG"
Yoruba,"Yoruba and any other two (2) subjects","EKSU; ILORIN; LASU; OAU; UNILORIN"
Igbo,"Igbo and any other two (2) subjects","ABSU; UNIZIK; UNN"
Hausa,"Hausa and any other two (2) subjects","ABU; BAYERO; UNILAG"
Arabic,"Arabic and any other two (2) Arts subjects","ABU; ABUJA; ILORIN; LASU; UNILORIN"
Chinese,"Chinese and any other two (2) Arts subjects","UNILAG"
Portuguese,"Portuguese and any other two (2) Arts subjects","UNILAG"
History,"History or Government and any other two (2) Arts or Social Science subjects","AAUA; ABSU; ABU; ABUJA; BAYERO; BENIN; DELSU; EBONYI; EKSU; IBADAN; ILORIN; JOS; KASU; KWASU; LAGOS; LASU; NASARAWA; NDU; OAU; OOU; PHC; UNILAG; UNILORIN; UNN; UNIZIK"
History and International Studies,"History or Government and any other two (2) Arts or Social Science subjects","ABU; ABUAD; BAYERO; BENIN; DELSU; EKSU; ELIZADE; IBADAN; LASU; MCPHERSON; NDU; OAU; UNIOSUN; UNILAG; UNN; UNIZIK"
International Relations,"Government or History and any other two (2) Social Science or Arts subjects","ABUAD; BABCOCK; CALEB; COVENANT; ELIZADE; LANDMARK; LEADCITY; MCPHERSON; NOVENA; OOU; SALEM; UNIOSUN; WELLSPRING"
Philosophy,"Any three (3) Arts or Social Science subjects","ABSU; ABU; ABUJA; BENIN; DELSU; EBONYI; EKSU; IBADAN; LAGOS; LASU; NASARAWA; NDU; OAU; OOU; PHC; UNILAG; UNN"
Religious Studies,"CRS/IRS and any two (2) other subjects","ABSU; ABU; ABUJA; BAYERO; BENIN; DELSU; EKSU; IBADAN; ILORIN; JOS; KASU; KWASU; LAGOS; LASU; NASARAWA; NDU; OAU; OOU; PHC; UNILAG; UNILORIN; UNN"
Christian Religious Studies,"CRS and any two (2) other subjects","ABU; BENIN; EKSU; IBADAN; ILORIN; JOS; LAGOS; LASU; OAU; UNILORIN; UNILAG; UNN"
Islamic Studies,"IRS and any two (2) other subjects","ABU; ABUJA; BAYERO; BENIN; EKSU; ILORIN; JOS; LAGOS; LASU; OAU; UNILORIN; UNILAG; UNN"
Fine and Applied Arts,"Any three (3) subjects from Arts or Social Sciences","ABSU; BENIN; DELSU; EKSU; LASU; NDU; OAU; UNILAG; UNIZIK; UNN; UNIUYO"
Visual Arts,"Any three (3) subjects from Arts or Social Sciences","UNILAG"
Law,"English Language and any three (3) Arts or Social Science subjects","ABSU; ABU; ABUJA; ABUAD; AJAYI; BAYERO; BENIN; BINGHAM; COVENANT; DELSU; EKSU; ELIZADE; IGBINEDION; JOS; KASU; KOLADAISI; LAGOS; LASU; NASARAWA; NDU; OAU; OOU; PHC; UNILAG; UNIOSUN; UNIZIK; UNN"
Civil Law,"English Language and any three (3) Arts or Social Science subjects","ABSU; BENIN; IBADAN; ILORIN; UNILAG"
Common Law,"English Language and any three (3) Arts or Social Science subjects","UNILORIN"
Private and Islamic Law,"English Language and any three (3) Arts or Social Science subjects","BAYERO"
Sharia Law,"English Language and any three (3) Arts or Social Science subjects","ABU; BAYERO; ILORIN; LASU"
Public and International Law,"English Language and any three (3) Arts or Social Science subjects","ABUJA"
Civil Law and Islamic Law,"English Language and any three (3) Arts or Social Science subjects","ILORIN"
Medicine and Surgery,"Physics, Chemistry, Biology","ABSU; ABU; ABUJA; ABUAD; BAYERO; BENIN; BINGHAM; DELSU; EBONYI; EBSU; EKSU; GREGORY; GSU; IBADAN; ILORIN; IMSU; JOS; KASU; LASU; LAUTECH; MADONNA; MAIDUGURI; OAU; OOU; OSUMS; PHC; UNIOSUN; UNIZIK; UNN; UNIUYO"
Dentistry and Dental Surgery,"Physics, Chemistry, Biology","ABU; BAYERO; BENIN; IBADAN; LAGOS; MAIDUGURI; OAU; PHC; UNILORIN; UNILAG"
Nursing Science,"Physics, Chemistry, Biology","ABSU; ABU; ABUJA; ABUAD; BAYERO; BENIN; BINGHAM; DELSU; EBONYI; EBSU; EKSU; GREGORY; GSU; IBADAN; ILORIN; IMSU; JOS; KASU; LASU; LAUTECH; MADONNA; MAIDUGURI; OAU; OOU; OSUMS; PHC; UNIOSUN; UNIZIK; UNN; UNIUYO"
Medical Laboratory Science,"Physics, Chemistry, Biology","ABSU; ABU; ABUJA; BAYERO; BENIN; DELSU; EBONYI; EKSU; GSU; IBADAN; IMSU; JOS; KASU; LASU; MAIDUGURI; OAU; OOU; PHC; UNIZIK; UNN"
Physiotherapy,"Physics, Chemistry, Biology","ABSU; BAYERO; BENIN; IBADAN; LAGOS; MAIDUGURI; OAU; PHC; UNILAG; UNIZIK; UNN"
Radiography,"Physics, Chemistry, Biology","ABU; BAYERO; LAGOS; MAIDUGURI; OAU; UNILAG; UNN"
Optometry,"Physics, Chemistry, Biology","ABSU; BENIN; IMO; UNIBEN"
Pharmacy,"Physics, Chemistry, Biology","ABSU; ABU; ABUJA; BAYERO; BENIN; DELSU; IBADAN; ILORIN; JOS; KASU; LAGOS; LASU; MAIDUGURI; NDU; OAU; OOU; PHC; UNILAG; UNIZIK; UNN; UNIUYO"
Anatomy,"Physics, Chemistry, Biology","ABU; BAYERO; BENIN; IBADAN; ILORIN; JOS; KASU; LASU; MAIDUGURI; NDU; OAU; PHC; UNILAG; UNIZIK; UNN"
Physiology,"Physics, Chemistry, Biology","ABU; BAYERO; BENIN; IBADAN; ILORIN; JOS; KASU; LASU; MAIDUGURI; NDU; OAU; PHC; UNILAG; UNIZIK; UNN"
Medical Rehabilitation,"Physics, Chemistry, Biology","OAU; UNILORIN; UNN"
Veterinary Medicine,"Physics, Chemistry, Biology","ABU; BAYERO; IBADAN; JOS; MAIDUGURI; NSUKKA; UNILORIN; UNN"
Agriculture,"Chemistry, Biology/Agriculture and any one of Mathematics, Physics, Geography, Economics","ABSU; ABU; ABUJA; BAYERO; BENIN; DELSU; EBONYI; EKSU; FUPRE; IBADAN; ILORIN; JOS; KASU; KWASU; LASU; LAUTECH; MAIDUGURI; NASARAWA; NDU; OAU; OOU; PHC; UNILAG; UNIZIK; UNN; UNIUYO"
Agricultural Extension and Rural Development,"Chemistry, Biology/Agriculture and any one of Mathematics, Physics, Geography, Economics","IBADAN; ILORIN; OAU; UNN"
Agricultural Economics,"Chemistry, Biology/Agriculture and any one of Mathematics, Physics, Geography, Economics","ABU; BAYERO; IBADAN; MAIDUGURI; NSUKKA; UNILORIN; UNN"
Animal Science,"Chemistry, Biology/Agriculture and any one of Mathematics, Physics, Geography, Economics","ABSU; ABU; BAYERO; BENIN; DELSU; EBONYI; EKSU; IBADAN; ILORIN; JOS; KASU; KWASU; LASU; LAUTECH; MAIDUGURI; NASARAWA; NDU; OAU; OOU; PHC; UNILAG; UNIZIK; UNN; UNIUYO"
Crop Science,"Chemistry, Biology/Agriculture and any one of Mathematics, Physics, Geography, Economics","ABU; BAYERO; BENIN; DELSU; EBONYI; EKSU; IBADAN; ILORIN; JOS; KASU; LASU; LAUTECH; MAIDUGURI; NASARAWA; NDU; OAU; OOU; PHC; UNILAG; UNIZIK; UNN; UNIUYO"
Soil Science,"Chemistry, Biology/Agriculture and any one of Mathematics, Physics, Geography, Economics","ABU; BENIN; DELSU; EBONYI; EKSU; IBADAN; ILORIN; JOS; KASU; LASU; LAUTECH; MAIDUGURI; NASARAWA; NDU; OAU; OOU; PHC; UNIZIK; UNN; UNIUYO"
Fisheries,"Chemistry, Biology/Agriculture and any one of Mathematics, Physics, Geography, Economics","ABSU; ABU; BAYERO; BENIN; DELSU; EBONYI; EKSU; IBADAN; ILORIN; JOS; KASU; KWASU; LASU; LAUTECH; MAIDUGURI; NASARAWA; NDU; OAU; OOU; PHC; UNILAG; UNIZIK; UNN; UNIUYO"
Forestry and Wildlife Management,"Chemistry, Biology/Agriculture and any one of Mathematics, Physics, Geography, Economics","ABU; BAYERO; BENIN; DELSU; EKSU; IBADAN; ILORIN; JOS; KASU; KWASU; LAUTECH; MAIDUGURI; NASARAWA; NDU; OAU; OOU; UNN"
Home Science, Nutrition and Dietetics,"Chemistry, Biology and one other Science subject","ABU; BAYERO; IBADAN; JOS; NDU; UNN"
Nutrition and Dietetics,"Chemistry, Biology and one other Science subject","IBADAN; UNN"
Food Science and Technology,"Chemistry, Mathematics/Physics and Biology/Agriculture","ABSU; ABU; BAYERO; BENIN; DELSU; EBONYI; EKSU; IBADAN; ILORIN; JOS; KASU; KWASU; LAUTECH; MAIDUGURI; NASARAWA; NDU; OAU; OOU; PHC; UNIZIK; UNN; UNIUYO"
Environmental Management and Toxicology,"Biology, Chemistry and any one of Mathematics, Physics, Geography","UNIBEN; FED-OTUOKE; MAIDUGURI"
Biochemistry,"Biology, Chemistry and Physics or Mathematics","ABSU; ABU; ABUJA; BAYERO; BENIN; DELSU; EBONYI; EKSU; IBADAN; ILORIN; JOS; KASU; KWASU; LASU; LAUTECH; MAIDUGURI; NASARAWA; NDU; OAU; OOU; PHC; UNILAG; UNIZIK; UNN; UNIUYO"
Botany,"Biology, Chemistry and any other Science subject","BENIN; IBADAN; LAGOS; OAU; UNILORIN; UNILAG; UNN"
Microbiology,"Biology, Chemistry and Physics or Mathematics","ABSU; ABU; ABUJA; BAYERO; BENIN; DELSU; EBONYI; EKSU; IBADAN; ILORIN; JOS; KASU; KWASU; LASU; LAUTECH; MAIDUGURI; NASARAWA; NDU; OAU; OOU; PHC; UNILAG; UNIZIK; UNN; UNIUYO"
Zoology,"Biology, Chemistry and any other Science subject","BENIN; IBADAN; LAGOS; OAU; UNILORIN; UNILAG; UNN"
Plant Science and Biotechnology,"Biology, Chemistry and Physics or Mathematics","BENIN; IBADAN; ILORIN; LAGOS; MAIDUGURI; UNIZIK; UNN"
Marine Biology,"Biology, Chemistry and any other Science subject","LAGOS"
Cell Biology and Genetics,"Biology, Chemistry and Physics or Mathematics","LAGOS"
Applied Biology,"Biology, Chemistry and any other Science subject","EBSU; EVANGEL; MAUTY"
Molecular Biology,"Biology, Chemistry and Physics or Mathematics","UNILAG"
Human Anatomy,"Biology, Chemistry and Physics","ABU; BAYERO; BENIN; IBADAN; ILORIN; JOS; KASU; LASU; MAIDUGURI; NDU; OAU; PHC; UNILAG; UNIZIK; UNN"
Human Physiology,"Biology, Chemistry and Physics","ABU; BAYERO; BENIN; IBADAN; ILORIN; JOS; KASU; LASU; MAIDUGURI; NDU; OAU; PHC; UNILAG; UNIZIK; UNN"
Biomedical Science,"Biology, Chemistry and Physics","UNILAG"
Biotechnology,"Biology, Chemistry and Physics or Mathematics","ABUJA; BENIN; CALABAR; EKSU; FED-WUKARI; IBADAN; ILORIN; LAGOS; OAU; UNILAG; UNN"
Environmental Biology,"Biology, Chemistry and Physics or Mathematics","IBADAN"
Conservation Biology,"Biology, Chemistry and Physics or Mathematics","UNILAG"
Ecology,"Biology, Chemistry and Physics or Mathematics","UNILAG"
Forensic Science,"Biology, Chemistry and Physics","UNILAG"
Geology,"Physics, Chemistry and Biology or Mathematics","ABU; BAYERO; BENIN; DELSU; EKSU; IBADAN; ILORIN; JOS; KASU; KWASU; LASU; LAUTECH; MAIDUGURI; NASARAWA; NDU; OAU; OOU; PHC; UNILAG; UNIZIK; UNN"
Applied Geophysics,"Physics, Chemistry and Mathematics","OAU; UNILAG"
Geophysics,"Physics, Chemistry and Mathematics","ABU; BAYERO; BENIN; IBADAN; ILORIN; JOS; KASU; LASU; MAIDUGURI; NASARAWA; OAU; UNILAG; UNN"
Geography,"Geography and two (2) other Science or Social Science subjects","ABSU; ABU; ABUJA; BAYERO; BENIN; DELSU; EBONYI; EKSU; IBADAN; ILORIN; JOS; KASU; KWASU; LASU; MAIDUGURI; NASARAWA; NDU; OAU; OOU; PHC; UNILAG; UNIZIK; UNN"
Geography and Environmental Management,"Geography and two (2) other Science or Social Science subjects","ABU; BAYERO; BENIN; IBADAN; ILORIN; JOS; KASU; LASU; NASARAWA; OAU; PHC; UNILAG"
Meteorology,"Physics, Mathematics and any other Science subject","UNILORIN"
Physics,"Physics, Mathematics and Chemistry","ABSU; ABU; ABUJA; BAYERO; BENIN; DELSU; EBONYI; EKSU; IBADAN; ILORIN; JOS; KASU; KWASU; LASU; LAUTECH; MAIDUGURI; NASARAWA; NDU; OAU; OOU; PHC; UNILAG; UNIZIK; UNN; UNIUYO"
Physics with Electronics,"Physics, Mathematics and Chemistry","ABU; BAYERO; EKSU; ILORIN; LASU; OAU; UNILAG; UNN"
Theoretical Physics,"Physics, Mathematics and Chemistry","UNILAG"
Industrial Physics,"Physics, Mathematics and Chemistry","ANAMBRA; ENUGU; UNIZIK"
Mathematics,"Mathematics, Physics and any other Science subject","ABSU; ABU; ABUJA; BAYERO; BENIN; DELSU; EBONYI; EKSU; IBADAN; ILORIN; JOS; KASU; KWASU; LASU; LAUTECH; MAIDUGURI; NASARAWA; NDU; OAU; OOU; PHC; UNILAG; UNIZIK; UNN; UNIUYO"
Mathematics with Computer Science,"Mathematics, Physics and any other Science subject","BENIN; LAGOS; LASU; OAU"
Statistics,"Mathematics, Physics and any other Science subject","ABSU; ABU; ABUJA; BAYERO; BENIN; DELSU; EBONYI; EKSU; IBADAN; ILORIN; JOS; KASU; KWASU; LASU; LAUTECH; MAIDUGURI; NASARAWA; NDU; OAU; OOU; PHC; UNILAG; UNIZIK; UNN; UNIUYO"
Statistics and Computer Science,"Mathematics, Physics and any other Science subject","BENIN; LAGOS"
Computer Science,"Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics or Geography","ABSU; ABU; ABUJA; BAYERO; BENIN; DELSU; EBONYI; EKSU; IBADAN; ILORIN; JOS; KASU; KWASU; LASU; LAUTECH; MAIDUGURI; NASARAWA; NDU; OAU; OOU; PHC; UNILAG; UNIZIK; UNN; UNIUYO"
Software Engineering,"Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics or Geography","ABUAD; BOWEN; COVENANT; ELIZADE; LANDMARK; MCPHERSON"
Information Technology,"Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics or Geography","BINGHAM; CRAWFORD; COVENANT; SALEM"
Cyber Security,"Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics or Geography","ABUJA; BAYERO; BENIN; BINGHAM; COVENANT; ELIZADE; LASU; MCPHERSON; OAU"
Data Science,"Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics or Geography","COVENANT; ELIZADE"
Information Science and Media Studies,"Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics or Geography","UNILAG"
Library and Information Science,"Any three (3) Arts or Social Science subjects","ABSU; ABU; ABUJA; BAYERO; BENIN; DELSU; EBONYI; EKSU; IBADAN; ILORIN; JOS; KASU; KWASU; LASU; MAIDUGURI; NASARAWA; NDU; OAU; OOU; PHC; UNILAG; UNIZIK; UNN"
Library Science,"Any three (3) Arts or Social Science subjects","UNILAG"
Information Science,"Any three (3) Arts or Social Science subjects","UNILAG"
Education and Accountancy,"Any three (3) Social Science subjects","EKSU"
Education and Banking and Finance,"Any three (3) Social Science subjects","EKSU"
Education and Business Administration,"Any three (3) Social Science subjects","EKSU"
Education and Management,"Any three (3) Social Science subjects","EKSU"
Education and Marketing,"Any three (3) Social Science subjects","EKSU"
Education and Secretarial Studies,"Any three (3) Social Science subjects","EKSU"
Education and Insurance,"Any three (3) Social Science subjects","EKSU"
Education and Cooperative Management,"Any three (3) Social Science subjects","EKSU"
Education and Public Administration,"Government, Economics and any other Social Science subject","EKSU"
Education and Political Science,"Government, Economics and any other Social Science subject","EKSU"
Education and Social Studies,"Government, Economics and any other Social Science subject","EKSU"
Education and Geography,"Geography and any two (2) Arts or Social Science subjects","EKSU"
Education and Economics,"Economics, Mathematics and one other subject from Social Sciences","EKSU"
Education and Mathematics,"Mathematics and any two (2) Science subjects","EKSU"
Education and Chemistry,"Chemistry, Mathematics and one other Science subject","EKSU"
Education and Physics,"Physics, Mathematics and one other Science subject","EKSU"
Education and Biology,"Biology, Chemistry and one other Science subject","EKSU"
Education and Integrated Science,"Biology, Chemistry and one other Science subject","EKSU"
Education and Agricultural Science,"Biology, Chemistry and one other Science subject","EKSU"
Education and Home Economics,"Biology, Chemistry and one other Science subject","EKSU"
Education and Fine Arts,"Fine Arts and two (2) other subjects","EKSU"
Education and English Language,"Literature in English, one other Arts subject plus any other subject","EKSU"
Education and French,"French and any two (2) Arts subjects","EKSU"
Education and History,"History and any two (2) Arts subjects","EKSU"
Education and Religious Studies,"CRS/IRS and any two (2) other subjects","EKSU"
Education and Christian Religious Studies,"CRS and any two (2) other subjects","EKSU"
Education and Islamic Religious Studies,"IRS and any two (2) other subjects","EKSU"
Education and Hausa,"Hausa and any two (2) subjects","ABU"
Education and Igbo,"Igbo and any two (2) subjects","ABSU"
Education and Yoruba,"Yoruba and any two (2) subjects","EKSU"
Education and Arabic,"Arabic and any two (2) Arts subjects","ABU"
Education and Music,"Music and any two (2) Arts subjects","EKSU"
